joey| man this is weird. you ever realize captain crunch's eyebrows are actually on his hat? 
chandler| that's what's weird? joey, the man's been captain of a cereal for the last 40 years.   
chandler| waaa-aaah. 
joey| what? 
chandler| the spoon. you licked and-and you put. you licked and you put. 
joey| yeah, so. 
chandler| well don't you see how gross that is? i mean that's like you using my toothbrush.  
joey| well, that was only 'cause i used the red one to unclog the drain. 
chandler| mine is the red one! oh god. can open, worms everywhere. 
joey| hey, why can't we use the same toothbrush, but we can use the same soap? 
chandler| because soap is soap. it's self-cleaning. 
joey| alright, well next time you take a shower, think about the last thing i wash and the first thing you wash.  opening titles    
chandler| hey. 
monica and phoebe| hey. 
joey| hey. 
phoebe| ooh, look at you fancy lads. what's the occasion? 
joey| well, you know that guy that's on my show that's in a coma? he's havin' a brunch. 
phoebe| ahh. 
rachel|  
phoebe| okey-doke. 
monica| i can't believe you guys are actually getting tattoos. 
chandler| excuse me, you guys are getting tattoos? 
rachel| yes, but you can not tell ross 'cause i want to surprise him. 
joey| wow, this is wild. what're you gonna get? 
phoebe| um, i'm getting a lily for my mom. 'cause her name's lily. 
chandler| wow, that's lucky. what if her name was big ugly splotch? 
joey| so where you gettin' it? 
phoebe| i think on my shoulder.  
ross| what? what's on your shoulder? 
phoebe| um, a chip. a tattoo, i'm getting a tattoo. 
ross| a tattoo? why, why would you want to do that?  
rachel| hi. well hey, you don't - you don't think they're kind of cool? 
ross| no, sorry i don't. tell me why would anyone pay someone to scar their body for life? what if it doesn't come out right phoebe? then it's like, i don't know, havin' a bad hair cut all the time. why's everyone staring at me? 
monica| ross, come sign this birthday card for dad. rich is gonna be here any minute. 
chandler| oooh, rich is goin' to the party too, huh? 
monica| well, he's my parents' best friend, he has to be there. 
joey| oh, is today the day you're gonna tell them about you two? 
monica| yeah. it's my dad's birthday, i decided to give him a stroke. 
phoebe| no, i think you should tell them. 
monica| no, i don't even know how serious he is about me. until i do, i'm not telling them anything. 
ross| i don't know, i don't think mom and dad would mind. remember when you were 9 and richard was 30, how dad used to say, 'god i hope they get together.'    
ross| alright, shall we? 
monica| ok, wait, wait, wait, wait. you know what? ross, let's - let's switch places. you get in the middle. no un-, ya know, unless this looks like we're trying to cover something up. 
ross| monica, monica, you could come in straddling him, they still wouldn't believe it.  
mrs. geller| oh hi kids. hi darling. 
monica| happy birthday dad. 
mr. geller| oh thank you. 
ross| hi ma. 
richard| happy birthday. 
mrs. geller| well, you kids thank dr. burke for the ride? 
ross| uh, actually mom, i think monica thanked him for the both of us.    
friend| well, you kids take the train in? 
mrs. geller| no, richard burke gave them a ride. 
friend| oh. speaking of whom, i hear he's got some 20-year-old twinkie in the city.  
monica| finger cramp. oh god, sorry. here, let me get that mom. 
mrs. geller| sooo, richard's shopping in the junior section. 
monica| are we still on that? 
mrs. geller| we just know she's got the iq of a napkin. 
friend| she's probably not even very pretty, just young enough so that everything is still pointing up.    
joey| can you believe this place? 
chandler| i know, this is a great apartment. 
joey| ah, i was just in the bathroom, and there's mirrors on both sides of you. so when you're in there it's like you're peein' with the rockettes. 
chandler| wow, there's my fantasy come true. no, seriously. 
joey's co-star| hey. 
joey| hey! we were just sayin', great apartment man. 
joey's co-star| thanks. you want it? 
joey| huh? 
joey's co-star| yeah, i'm movin' to a bigger place. you should definitely take this one. 
joey| yeah, can you see me in a place like this? 
joey's co-star| why not? you hate park views and high ceilings? c'mon i'll show you the kitchen. 
chandler|  on tv. stop talking. ok.    
mr. geller| c'mon, tell us. 
friend| yeah, is she really 20. 
richard| i am not telling you guys anything. 
mr. geller| c'mon rich, it's my birthday, let me live vicariously. 
