commercial voiceover| can't get the monkey off your back? then put it in your mouth...    
commercial voiceover| ...with monkeyshine beer.     
ross| that commercial always makes me so sad. 
joey| yeah, but then the guy opens his beer and those girls run at him, so, everything seems to work out ok. 
ross| i meant because the monkey in it reminds me of marcel. 
phoebe| i can see that, 'cause they both have those big brown eyes and, ya know, the little pouty chin.
monica| and the fact that they're both monkeys. 
ross| sometimes i wonder if i did the right thing, ya know, giving him away. 
rachel| oh, ross, you had to, i mean, he was humping everything in sight. i mean, i have a malibu barbi that will no longer be wearing white to her wedding. 
ross| remember when sometimes he'd borrow your hat, and, and when you got it back there'd be little monkey raisins in it. 
chandler| yeah, well sure, when he did it, it was funny. when i did it to my boss's hat. . . all of the sudden i have this big attitude problem.  opening titles      
joey| hey, hey, check it out, guess what i got. 
chandler| rhythm? 
joey| no, my first fan mail. 
all| alright! 
monica|  you.' gosh. 'your not-so-secretive admirer, erica ford.' ooh wait, 'ps enclosed please find 14 of my eyelashes.' 
rachel| ya know, in crazy world, that means you're married. 
monica| this wasn't addressed to days of our lives, this is, this came to your apartment. there's no stamp on it, this woman was in our building. 
joey| oh my god, i got my very own stalker.   
ross| hey guys. 
all| hey. 
phoebe| ooh, where are you off to, travelin' jake? 
ross| well, there's this, uh, paleontology conference in l.a. so i figured i'd go and then drive down to the zoo and surprise marcel. 
chandler| you know i think he will be surprised, 'till he realizes he's a monkey, and uh, you know, isn't capable of that emotion.   
rachel| oh, phoebe, that really cute guy is here again. 
phoebe| oh, oh, ok, so everyone, pretend like i'm telling you a story, ok. and, and it's really funny. so everyone just laugh, now.   
phoebe| i know, i know.  
rob| hi. i'm rob dohnen. 
phoebe| hi rob dohnen. 
rob| i don't know anything about music, but i think you're really, really great. 
phoebe| oh, wow. 
rob| anyway, i schedule performers for the childrens libraries around the city and i was just thinking, have you ever thought about playing your songs for kids? 
phoebe| oh, i would love to have kids. . . you're, you're the, you're, me play the songs that i will write for them.    
joey| hey, whaddya wanna do for dinner? 
chandler| well we could just stay in and cook for ourselves.    
chandler| hello. 
erica| it's erica. 
joey| ah, the stalker. 
erica| never mind, it's open. 
chandler|  might wanna have a backup plan, though, just in case she isn't a cartoon. 
joey| let's get out of here.   
chandler| the one time they're not home. 
joey| ok, we'll just leave, and when we pass her on the stairs, she won't know it's me 'cause we've never met.
chandler| that's how radio stars escape stalkers. 
joey| she's comin'.   
erica| it's me. 
joey| uhh, this is it, this is how we're gonna die. ready? 
chandler| wait, wait, wait.     
erica| hi. 
joey| erica.   
lipson| hi, dean lipson, zoo administrator. i was told you had a question. 
ross| well, i uh, i can't seem to find the monkey i donated last year. he's a capuchan, answers to the name marcel. 
lipson| ahh, i'm afraid i have some bad news. marcel has passed on. 
ross| oh my god, what happened? 
lipson| well he got sick, and then he got sicker, and then he got a little better but then he died. 
ross| i can't believe this. 
lipson| i'm sorry mr. geller. but ya know, there's an old saying, 'sometimes monkeys die.' it's not a great saying but it certainly is fitting today. 
ross| well, ya know, someone should have called me. 
lipson| i'm sorry. look, i know this can't bring him back but here, it's just a gesture. 
ross| zoo dollars? 
lipson| yes, and come see the bird show at 4. the macaws wear hats. well it's a lot cuter if your monkey hasn't just died.      
kids| ooohhh. 
phoebe| i know. 
monica| i can't believe joey's having lunch with his stalker. what i-, what is she like. 
chandler| well, you remember cathy bates in misery? 
rachel and monica| yeah. 
chandler| well, she looks the exact opposite of that. 
rachel| and she's not crazy? 
chandler| oh no no no, she's a total wack job. yeah, she thinks that joey is actually dr. drake remore. 
rachel| oh my god. 
monica| ah, and i mean, he's going out with her? he can not persue this. 
chandler| hey, just because this woman thinks she can actually see joey through the magical box in her living room doesn't mean she's not a person. i mean, does she not deserve happiness, does she not deserve love? what're you lookin' at me for? he's the one who wants to boff the maniac. 
rob| you ok? 
phoebe| no, uh-uh, i'm just, i'm nervous. so, you know what, maybe if i just, if i picture them all in their underwear. 
rob| that's not a good idea, that's kinda the reason the last guy got fired. 
phoebe| i'm just, i'm, i'm, i'm used to playing for grown-ups. ya know, they just, grown-ups drink their coffee and do their grown-up thing, ya know, and kids listen. this is a huge responsibility. what? are you gonna kiss me? 
ross| i was thinkin' about it. 
phoebe| ok.  
all| hi phoebe. 
phoebe| ok, um, i'm gonna play, um, some songs about grandparents, ok.  now, grandma's a person who everyone likes, she bought you a train and a bright, shiny bike. but lately she hasn't been coming to dinner, and last time you saw her she looked so much thinner. now, your mom and your dad said she moved to peru, but the truth is she died and some day you will too. la-la-la la la-la-la la la-la-la la...   
