joey| hey. 
chandler| hi, my name’s chandler. i just moved in next door and i was wondering if you would be interested in battling me in a post-apoplectic world for control of the galaxies last remaining energy source? 
joey| sure, neighbor come on in. 
chandler| so, is janine around? 
joey| uh, no, she’s at dance class. 
chandler| can i check out what she did to my room? 
joey| yeah, but, hey look, don’t go through her stuff. she gets really mad. 
chandler|  oh my god. what is th… it’s like a guy never lived in here. look, you’ve got to be careful. this girl thing is dangerous.  it’s spreading already. 
joey|  it is??? 
chandler|  yeah, is this your pretty pink pillow on the couch? 
joey| no. 
chandler|  is that your tiny little box, that’s too small to put anything in? 
joey| no. 
chandler| no! ok, this is not good. you are a guy. ok? this is a guys place. if you let this go, you’re going to be sitting around with your fingers soaking in stuff. 
joey|  all right, you’re right. i’ll talk to her. 
chandler| yes talk to her. be a man. 
joey| i’m a man. 
chandler| defend yourself. 
joey|  
monica| chandler come on. we have to hem the new dust ruffle. 
chandler| be right there sweetums.  a totally different situation.  opening credits   
monica| hey guys. 
chandler| hey, how was your breakfast with hillary? 
monica| it was okay. she’s still kind of depressed because she broke up with her boyfriend. 
chandler| ohh, yeah. 
ross| well, is this hillary your hot assistant chef hillary? 
monica| yeah. 
ross| the one that always stares at me when i come in? 
monica| no, the one who looked at you once because you got in her way. 
ross| still i could tell. she was into me.  well, why don’t you set us up? 
rachel| ohh, are you setting ross up with someone? does she have a wedding dress? 
phoebe|  hey. 
rachel| hey. 
phoebe| rachel? 
rachel| yeah. 
phoebe| i’m, uhh, making up flyers trying to get new massage clients. so, can i come to bloomingdale’s and use the copy machine. 
rachel| well, sure, but they might think it’s kinda weird considering i don’t work there anymore. 
phoebe| oh my god. what happened? 
rachel| i-i, got a job at ralph lauren. 
phoebe| well that’s great! congratulations!!  
rachel| yeah.  a year ago.. 
phoebe|  you’ve lasted a whole year. good for you. 
rachel| but, pheebs, you can still use the copy machine where i actually work. but, just come by at lunch so my boss doesn’t see you. cause kim will just freak out and she already doesn’t like me very much. 
chandler| that’s weird. i don’t think my boss likes me either. 
monica| i don’t think mine likes me either. 
ross| maybe it’s a universal thing? 
joey| or maybe, it’s because you’re hanging around here at 11:30 on a wednesday.  
chandler| yeah let’s head off to work. 
monica| we should go.  
phoebe| thank you. 
rachel| sure. 
phoebe| now you will not believe this. but, i was in the copy room, making copies, and ralph lauren came in. 
